LastName,NumPeopleRace,RankRace,PercentRace,RankAll,NumPeopleAll
DRAKE,"8,392",533,14.20%,506,"59,055"
MADDOX,"8,389",534,24.00%,906,"34,970"
BRAXTON,"8,386",535,74.50%,2938,"11,249"
CHILDS,"8,376",536,30.70%,1178,"27,266"
FOX,"8,370",537,5.70%,167,"147,357"
RICKS,"8,365",538,47.90%,1887,"17,474"
VALENTINE,"8,359",539,22.20%,834,"37,669"
MAYFIELD,"8,333",540,28.60%,1100,"29,136"
HORNE,"8,332",541,23.00%,873,"36,288"
LYLES,"8,329",542,53.30%,2128,"15,632"
BELLAMY,"8,324",543,52.50%,2101,"15,850"
BETHEA,"8,221",544,76.00%,3073,"10,811"
DOTSON,"8,213",545,25.80%,1004,"31,784"
STEWARD,"8,186",546,38.00%,1533,"21,558"
CONLEY,"8,178",547,15.10%,562,"54,194"
GIPSON,"8,172",548,44.70%,1803,"18,289"
YATES,"8,160",549,13.30%,491,"61,400"
HUTCHINSON,"8,128",550,17.00%,649,"47,809"
BEST,"8,124",551,22.00%,855,"36,862"
UNDERWOOD,"8,110",552,14.50%,535,"55,973"
LIVINGSTON,"8,103",553,19.80%,766,"40,964"
MCNAIR,"8,102",554,53.00%,2179,"15,299"
LOCKHART,"8,077",555,30.10%,1195,"26,844"
SHARP,"8,071",556,10.50%,371,"76,868"
FELDER,"8,061",557,67.30%,2767,"11,976"
HIGHTOWER,"8,060",558,42.30%,1723,"19,054"
HERRING,"8,057",559,21.60%,841,"37,353"
HIGGINS,"8,022",560,10.30%,365,"78,107"
SUMMERS,"8,021",561,14.50%,541,"55,391"
MATHEWS,"7,981",562,15.80%,609,"50,608"
TALLEY,"7,974",563,27.40%,1101,"29,082"
MORROW,"7,971",564,14.30%,538,"55,664"
LESTER,"7,949",565,18.10%,709,"43,919"
GALLOWAY,"7,940",566,23.50%,951,"33,773"
WARNER,"7,929",567,9.70%,344,"81,824"
OSBORNE,"7,883",568,12.00%,457,"65,802"
MAYES,"7,881",569,31.70%,1302,"24,853"
ALI,"7,876",570,21.80%,876,"36,079"
MANN,"7,843",571,9.70%,349,"81,022"
HOLLIS,"7,832",572,28.40%,1164,"27,597"
EDMONDS,"7,820",573,32.30%,1339,"24,210"
HARRINGTON,"7,796",574,12.00%,462,"65,131"
BRUCE,"7,795",575,15.00%,583,"52,004"
NOEL,"7,782",576,27.40%,1130,"28,401"
RICHMOND,"7,761",577,21.70%,882,"35,715"
WILDER,"7,728",578,25.70%,1067,"30,023"
KENDRICK,"7,662",579,29.20%,1222,"26,266"
MAGEE,"7,635",580,29.30%,1237,"26,031"
PERSON,"7,629",581,39.90%,1719,"19,129"
CLEVELAND,"7,619",582,25.20%,1056,"30,233"
FINLEY,"7,614",583,20.60%,854,"36,874"
SHERMAN,"7,613",584,10.90%,422,"69,840"
KEYS,"7,610",585,42.80%,1860,"17,763"
GRIFFITH,"7,588",586,9.80%,369,"77,429"
SKINNER,"7,585",587,14.50%,575,"52,490"
KEY,"7,556",588,23.70%,999,"31,882"
WITHERSPOON,"7,529",589,61.30%,2696,"12,283"
DONALDSON,"7,513",590,21.20%,897,"35,387"
MAYO,"7,457",591,22.50%,965,"33,126"
LOFTON,"7,430",592,56.20%,2507,"13,212"
KIRKLAND,"7,425",593,25.70%,1107,"28,937"
WOMACK,"7,403",594,27.50%,1194,"26,890"
PROCTOR,"7,366",595,21.20%,918,"34,682"
FRANCOIS,"7,346",596,68.10%,3079,"10,794"
GRIER,"7,343",597,56.10%,2529,"13,098"
HOLMAN,"7,330",598,23.30%,1016,"31,514"
GROSS,"7,317",599,9.80%,387,"74,285"
BYNUM,"7,315",600,48.10%,2196,"15,204"
HOOKS,"7,300",601,44.70%,2034,"16,341"
HATCHER,"7,291",602,25.70%,1127,"28,424"
CROCKETT,"7,259",603,31.80%,1434,"22,850"
ASHLEY,"7,256",604,19.60%,852,"37,021"
HOBBS,"7,253",605,15.40%,659,"47,220"
CHANEY,"7,246",606,22.30%,979,"32,433"
RUSH,"7,243",607,19.30%,839,"37,470"
HOUSE,"7,225",608,17.80%,776,"40,477"
BRANDON,"7,222",609,28.20%,1260,"25,600"
PARHAM,"7,218",610,46.90%,2164,"15,387"
HESTER,"7,205",611,20.80%,919,"34,675"
HICKMAN,"7,188",612,17.90%,783,"40,224"
DARDEN,"7,186",613,56.80%,2623,"12,652"
CRENSHAW,"7,185",614,41.30%,1895,"17,402"
ARTIS,"7,178",615,81.20%,3688,"8,835"
PENN,"7,173",616,38.60%,1765,"18,601"
DUNLAP,"7,168",617,18.60%,820,"38,516"
DOZIER,"7,166",618,47.10%,2195,"15,207"
GASTON,"7,158",619,39.00%,1797,"18,348"
BRIGHT,"7,155",620,22.30%,992,"32,042"
DUNBAR,"7,086",621,28.50%,1299,"24,871"
FOREMAN,"7,081",622,26.10%,1186,"27,130"
HUFF,"7,065",623,13.10%,564,"53,892"
BRUNSON,"7,058",624,43.80%,2059,"16,118"
BOWERS,"7,056",625,10.90%,466,"64,496"
MCRAE,"7,053",626,41.00%,1920,"17,203"
LOTT,"7,048",627,28.10%,1291,"25,118"
SELLERS,"7,028",628,16.90%,755,"41,561"
GAY,"7,024",629,21.50%,974,"32,672"
CAREY,"7,003",630,12.80%,547,"54,924"
ADDISON,"7,000",631,42.50%,2019,"16,474"
MACKEY,"6,972",632,23.50%,1075,"29,718"
PETTY,"6,965",633,20.30%,933,"34,278"
CRUMP,"6,959",634,34.80%,1643,"19,973"
HENDRICKS,"6,931",635,16.60%,749,"41,879"
VINSON,"6,915",636,28.20%,1318,"24,557"
MARSH,"6,905",637,11.30%,494,"60,999"
RAINEY,"6,901",638,30.80%,1462,"22,397"
SCALES,"6,884",639,54.90%,2649,"12,542"
MANUEL,"6,880",640,28.40%,1337,"24,227"
HOLLINS,"6,853",641,75.60%,3603,"9,060"
BROUSSARD,"6,835",642,26.60%,1249,"25,735"
DUPREE,"6,802",643,43.50%,2126,"15,647"
FULTON,"6,794",644,21.60%,1017,"31,513"
BRANTLEY,"6,790",645,34.00%,1646,"19,953"
HEATH,"6,781",646,13.50%,614,"50,307"
SPENCE,"6,773",647,19.70%,928,"34,435"
MCQUEEN,"6,755",648,36.10%,1757,"18,701"
GRAYSON,"6,730",649,41.70%,2054,"16,158"
MCGILL,"6,718",650,25.50%,1218,"26,354"
GLASS,"6,703",651,16.50%,770,"40,724"
COLES,"6,703",651,49.10%,2431,"13,641"
BUTTS,"6,702",653,28.50%,1381,"23,540"
FELTON,"6,696",654,42.60%,2115,"15,734"
ATKINSON,"6,694",655,13.00%,592,"51,489"
STAFFORD,"6,675",656,14.70%,689,"45,349"
TRAVIS,"6,674",657,20.00%,960,"33,339"
BROCK,"6,672",658,11.20%,502,"59,682"
GOODE,"6,671",659,31.40%,1553,"21,226"
MCLEOD,"6,664",660,22.60%,1088,"29,423"
GUY,"6,662",661,23.80%,1150,"27,934"
SHEPARD,"6,634",662,17.10%,815,"38,705"
TONEY,"6,615",663,37.80%,1886,"17,481"
JEFFRIES,"6,612",664,29.00%,1435,"22,839"
PARRISH,"6,611",665,13.50%,632,"48,823"
MELTON,"6,604",666,13.60%,634,"48,594"
KEITH,"6,591",667,14.10%,663,"46,747"
MCPHERSON,"6,563",668,18.90%,913,"34,763"
FORBES,"6,529",669,20.30%,986,"32,228"
BOLTON,"6,524",670,20.40%,994,"31,995"
SINGLETARY,"6,515",671,50.20%,2559,"12,979"
LINDSAY,"6,511",672,20.50%,1008,"31,744"
ISAAC,"6,510",673,39.90%,2039,"16,312"
HARDIN,"6,508",674,15.60%,753,"41,664"
MARKS,"6,503",675,13.50%,644,"48,281"
BOWENS,"6,475",676,78.30%,3945,"8,270"
LACY,"6,455",677,29.00%,1467,"22,250"
STERLING,"6,419",678,26.40%,1333,"24,314"
AMOS,"6,412",679,28.10%,1436,"22,817"
MCINTYRE,"6,410",680,15.10%,742,"42,335"
GANT,"6,407",681,48.30%,2490,"13,268"
SAWYER,"6,376",682,13.30%,646,"47,979"
MAJOR,"6,367",683,32.20%,1659,"19,791"
SNEED,"6,361",684,37.70%,1963,"16,855"
BRADSHAW,"6,356",685,15.60%,769,"40,794"
BAXTER,"6,336",686,13.20%,647,"47,857"
WINTERS,"6,332",687,14.50%,712,"43,762"
ASKEW,"6,328",688,48.30%,2530,"13,095"
ECHOLS,"6,313",689,45.90%,2417,"13,741"
ALLISON,"6,294",690,12.20%,590,"51,504"
CROWDER,"6,285",691,26.80%,1387,"23,409"
GOODEN,"6,279",692,60.70%,3183,"10,338"
STALLWORTH,"6,268",693,84.90%,4439,7381
SHARPE,"6,266",694,22.50%,1155,"27,862"
DUMAS,"6,256",695,37.60%,1997,"16,660"
SWAIN,"6,232",696,25.70%,1338,"24,220"
SPARKS,"6,223",697,10.00%,481,"62,234"
JETER,"6,217",698,50.10%,2672,"12,419"
BUCKNER,"6,214",699,26.30%,1376,"23,645"
GUILLORY,"6,213",700,43.30%,2308,"14,351"
FITZGERALD,"6,205",701,8.40%,390,"73,522"
PACE,"6,201",702,15.90%,807,"38,975"
MCFARLAND,"6,194",703,15.40%,782,"40,244"
MCCLOUD,"6,189",704,40.90%,2204,"15,125"
FERRELL,"6,181",705,19.20%,987,"32,174"
BRITT,"6,179",706,20.50%,1059,"30,200"
SANFORD,"6,174",707,17.40%,888,"35,565"
BARKER,"6,170",708,7.20%,325,"85,221"
HOLDER,"6,165",709,19.00%,978,"32,466"
ORR,"6,109",710,14.00%,714,"43,666"
BOSTON,"6,109",710,40.70%,2223,"15,003"
VINCENT,"6,101",712,12.10%,608,"50,628"
MCMILLIAN,"6,098",713,55.40%,3020,"11,012"
SEALS,"6,070",714,40.40%,2222,"15,020"
SPANN,"6,066",715,51.90%,2815,"11,691"
COLEY,"6,065",716,40.80%,2243,"14,879"
KIDD,"6,011",717,18.90%,998,"31,886"
JOHNS,"6,006",718,12.70%,656,"47,289"
EASON,"5,981",719,35.30%,1949,"16,923"
STINSON,"5,964",720,23.20%,1254,"25,694"
TROTTER,"5,960",721,31.50%,1734,"18,946"
BONDS,"5,951",722,46.60%,2600,"12,763"
ROUSE,"5,943",723,23.80%,1292,"25,022"
FOUNTAIN,"5,931",724,31.10%,1720,"19,094"
LANG,"5,924",725,9.90%,499,"59,843"
MCGOWAN,"5,919",726,18.70%,1010,"31,669"
QUINN,"5,895",727,7.90%,386,"74,531"
ROACH,"5,881",728,13.20%,704,"44,454"
KIMBLE,"5,870",729,34.30%,1929,"17,138"
PICKENS,"5,864",730,37.60%,2133,"15,597"
FAISON,"5,858",731,75.80%,4242,"7,728"
ROYAL,"5,847",732,39.70%,2264,"14,739"
STEPHENSON,"5,828",733,12.50%,668,"46,662"
MEADOWS,"5,828",733,13.60%,725,"42,884"
RANSOM,"5,793",735,36.80%,2113,"15,754"
LEACH,"5,790",736,13.30%,714,"43,666"
HILLIARD,"5,789",737,29.60%,1675,"19,564"
CARRINGTON,"5,782",738,47.80%,2741,"12,093"
HOLDEN,"5,753",739,16.90%,940,"34,041"
EDMOND,"5,746",740,72.40%,4125,"7,940"
DUBOSE,"5,745",741,46.40%,2682,"12,377"
MCKOY,"5,745",741,84.20%,4746,6825
DICKSON,"5,743",743,16.60%,915,"34,698"
WHITLEY,"5,727",744,22.00%,1236,"26,078"
VANCE,"5,702",745,12.50%,686,"45,763"
REDMOND,"5,677",746,27.10%,1573,"20,919"
PLUMMER,"5,673",747,23.00%,1309,"24,665"
STOVALL,"5,669",748,35.30%,2067,"16,073"
SMILEY,"5,662",749,29.80%,1728,"19,014"
GRADY,"5,657",750,22.50%,1290,"25,121"
BRYAN,"5,654",751,10.20%,542,"55,269"
IRVING,"5,638",752,40.30%,2372,"13,997"
HUGGINS,"5,635",753,26.20%,1538,"21,499"
EWING,"5,633",754,17.10%,969,"32,925"
HERRON,"5,632",755,21.80%,1248,"25,776"
ARMSTEAD,"5,631",756,78.60%,4548,"7,162"
GRIGGS,"5,630",757,23.70%,1369,"23,756"
TOLLIVER,"5,622",758,50.20%,2956,"11,208"
MEEKS,"5,606",759,19.70%,1126,"28,426"
CHASE,"5,575",760,11.00%,606,"50,777"
DICKENS,"5,563",761,30.60%,1814,"18,181"
DRAYTON,"5,559",762,80.10%,4669,"6,944"
JOHN,"5,556",763,20.10%,1161,"27,643"
SHORT,"5,551",764,9.90%,536,"55,903"
DENSON,"5,551",764,47.30%,2808,"11,725"
GUNN,"5,550",766,25.10%,1475,"22,120"
HAWTHORNE,"5,549",767,34.80%,2083,"15,968"
REAVES,"5,537",768,38.30%,2299,"14,465"
SLOAN,"5,530",769,13.10%,743,"42,281"
CHAVIS,"5,522",770,40.20%,2415,"13,744"
REDD,"5,511",771,44.20%,2657,"12,479"
GOINS,"5,503",772,25.20%,1498,"21,872"
ROBBINS,"5,493",773,7.00%,364,"78,141"
LANIER,"5,469",774,27.10%,1625,"20,181"
WILCOX,"5,466",775,9.90%,546,"54,987"
SPIVEY,"5,460",776,26.80%,1615,"20,349"
BOWIE,"5,452",777,49.80%,3036,"10,943"
NEELY,"5,449",778,23.40%,1393,"23,308"
ANTOINE,"5,447",779,71.60%,4321,"7,606"
RIDDICK,"5,434",780,69.00%,4172,"7,876"
YARBROUGH,"5,433",781,22.60%,1350,"24,063"
KIRK,"5,424",782,10.40%,582,"52,056"
NOBLE,"5,413",783,13.50%,784,"40,217"
DARBY,"5,410",784,30.30%,1850,"17,854"
BATISTE,"5,407",785,90.30%,5355,5990
MCNEILL,"5,399",786,29.50%,1806,"18,272"
GRACE,"5,394",787,20.20%,1200,"26,727"
BRITTON,"5,393",788,19.30%,1147,"28,001"
WESTON,"5,385",789,21.80%,1308,"24,679"
ADKINS,"5,379",790,7.50%,408,"71,528"
LONDON,"5,364",791,35.10%,2185,"15,265"
LOVETT,"5,357",792,29.10%,1789,"18,421"
STUBBS,"5,349",793,28.10%,1722,"19,068"
KIMBROUGH,"5,345",794,47.30%,2927,"11,290"
LITTLEJOHN,"5,319",795,46.70%,2893,"11,383"
DAVID,"5,316",796,13.80%,818,"38,659"
ABRAMS,"5,299",797,21.20%,1295,"24,961"
GILLESPIE,"5,298",798,12.80%,758,"41,393"
BACON,"5,291",799,18.10%,1094,"29,312"
GORE,"5,291",799,21.60%,1326,"24,449"
IRVIN,"5,279",801,25.40%,1583,"20,776"
BURCH,"5,278",802,14.90%,891,"35,521"
CONWAY,"5,277",803,12.20%,719,"43,395"
GARRISON,"5,275",804,10.40%,611,"50,482"
MCDUFFIE,"5,275",804,55.60%,3449,"9,479"
HENDRIX,"5,272",806,15.50%,941,"34,032"
MELVIN,"5,261",807,26.90%,1679,"19,523"
MALLORY,"5,256",808,30.90%,1944,"16,987"
RAGLAND,"5,241",809,43.10%,2719,"12,159"
COOLEY,"5,237",810,16.20%,983,"32,287"
BARKSDALE,"5,227",811,54.60%,3425,"9,565"
TANNER,"5,226",812,11.30%,675,"46,412"
BEVERLY,"5,214",813,44.80%,2822,"11,631"
BELTON,"5,207",814,64.20%,4018,"8,111"
POTTS,"5,205",815,13.80%,832,"37,687"
COATES,"5,205",815,24.00%,1523,"21,652"
TIMMONS,"5,202",817,26.10%,1651,"19,900"
DENT,"5,198",818,36.90%,2354,"14,082"
MCCAIN,"5,174",819,28.90%,1842,"17,933"
FAULKNER,"5,146",820,14.50%,896,"35,389"
THORPE,"5,141",821,24.50%,1569,"20,960"
THURMAN,"5,118",822,22.70%,1450,"22,564"
AKINS,"5,115",823,30.30%,1960,"16,860"
FREDERICK,"5,108",824,12.80%,791,"39,909"
BAPTISTE,"5,097",825,69.30%,4448,"7,353"
NANCE,"5,091",826,22.20%,1431,"22,900"
BOWDEN,"5,079",827,21.50%,1373,"23,677"
SCRUGGS,"5,076",828,32.60%,2141,"15,562"
BRINSON,"5,064",829,44.50%,2895,"11,380"
HARDING,"5,061",830,13.20%,823,"38,340"
HERBERT,"5,050",831,20.00%,1285,"25,224"
BARTON,"5,030",832,7.60%,447,"66,622"
COCHRAN,"5,014",833,8.60%,514,"58,233"
BOOTH,"5,013",834,10.30%,635,"48,580"
GENTRY,"5,011",835,11.80%,741,"42,357"
PINKNEY,"5,006",836,84.30%,5396,5938
JARRETT,"4,998",837,24.40%,1610,"20,449"
FAIR,"4,995",838,28.30%,1870,"17,658"
ABRAHAM,"4,976",839,19.30%,1250,"25,729"
PRESSLEY,"4,971",840,40.80%,2712,"12,182"
IVORY,"4,970",841,74.80%,4846,"6,645"
CHRISTOPHER,"4,969",842,17.40%,1124,"28,493"
DAILEY,"4,958",843,16.00%,1038,"30,894"
COOKS,"4,954",844,89.60%,5740,5526
CORBIN,"4,952",845,19.30%,1253,"25,696"
HOSKINS,"4,952",845,21.20%,1391,"23,358"
LAMB,"4,948",847,8.50%,511,"58,555"
TOLIVER,"4,942",848,72.30%,4743,"6,833"
BRICE,"4,936",849,44.30%,2968,"11,153"
ARCHIE,"4,933",850,76.00%,4969,"6,487"
MCLAUGHLIN,"4,922",851,6.70%,392,"73,128"
TRIPLETT,"4,910",852,28.20%,1890,"17,422"
BOYCE,"4,892",853,18.70%,1223,"26,229"
HANDY,"4,887",854,35.80%,2429,"13,655"
WILLS,"4,878",855,17.40%,1143,"28,036"
LIPSCOMB,"4,877",856,38.20%,2597,"12,775"
BRISCOE,"4,876",857,37.40%,2549,"13,030"
FRANK,"4,865",858,7.40%,454,"65,918"
SUGGS,"4,857",859,37.30%,2553,"13,012"
SEWELL,"4,856",860,23.40%,1586,"20,736"
HANNAH,"4,852",861,25.30%,1717,"19,164"
IVEY,"4,851",862,21.50%,1452,"22,552"
BROWNE,"4,840",863,22.90%,1563,"21,109"
RUTLEDGE,"4,835",864,18.60%,1241,"26,010"
FRENCH,"4,831",865,7.70%,473,"63,149"
MCLAURIN,"4,824",866,64.30%,4380,"7,497"
HENSON,"4,819",867,10.30%,669,"46,609"
OVERTON,"4,815",868,26.60%,1822,"18,094"
HAYDEN,"4,809",869,13.30%,878,"36,024"
DONALD,"4,808",870,40.90%,2802,"11,763"
COHEN,"4,806",871,5.50%,320,"87,226"
HOLLIDAY,"4,806",871,24.70%,1686,"19,488"
COOKE,"4,798",873,15.10%,1000,"31,860"
COMBS,"4,792",874,9.00%,570,"53,180"
EASLEY,"4,787",875,30.10%,2094,"15,902"
ELMORE,"4,786",876,18.90%,1279,"25,280"
PRINGLE,"4,786",876,38.40%,2664,"12,460"
MCKAY,"4,785",878,13.00%,853,"36,948"
LOMAX,"4,782",879,52.40%,3579,"9,120"
BUFORD,"4,778",880,54.60%,3722,"8,751"
PURNELL,"4,761",881,61.60%,4243,"7,725"
REDDICK,"4,759",882,51.70%,3546,"9,203"
PHELPS,"4,747",883,9.30%,598,"51,154"
MULLINS,"4,744",884,6.70%,416,"70,286"
BEAN,"4,743",885,12.80%,846,"37,145"
IRBY,"4,732",886,42.90%,3005,"11,040"
IVY,"4,722",887,37.00%,2602,"12,760"
BLACKMAN,"4,717",888,33.90%,2389,"13,897"
QUARLES,"4,709",889,50.80%,3523,"9,264"
HALEY,"4,700",890,12.90%,869,"36,433"
CASEY,"4,699",891,7.20%,463,"64,815"
HOPSON,"4,698",892,39.00%,2748,"12,050"
DYER,"4,695",893,10.10%,671,"46,574"
BENTLEY,"4,692",894,12.10%,814,"38,714"
JOINER,"4,679",895,30.00%,2134,"15,595"
TRAYLOR,"4,677",896,37.00%,2630,"12,627"
LASSITER,"4,676",897,36.80%,2619,"12,699"
LAW,"4,672",898,15.10%,1037,"30,900"
SINCLAIR,"4,672",898,18.00%,1239,"26,014"
BRADY,"4,669",900,6.60%,411,"71,175"
BARR,"4,659",901,11.00%,738,"42,432"
VAUGHAN,"4,654",902,12.40%,837,"37,591"
ROYSTER,"4,649",903,60.70%,4286,"7,658"
POWERS,"4,647",904,5.10%,304,"90,401"
CHEATHAM,"4,646",905,37.50%,2679,"12,403"
RIGGINS,"4,638",906,40.70%,2892,"11,385"
COWAN,"4,636",907,14.40%,985,"32,242"
VANN,"4,629",908,31.70%,2280,"14,602"
DRUMMOND,"4,622",909,27.10%,1937,"17,032"
KIRBY,"4,607",910,8.80%,577,"52,473"
STANFORD,"4,604",911,22.30%,1601,"20,610"
ROY,"4,600",912,9.30%,621,"49,725"
MOHAMED,"4,597",913,36.80%,2655,"12,499"
SMART,"4,596",914,19.10%,1344,"24,114"
SHORTER,"4,595",915,56.60%,4014,"8,122"
ASHFORD,"4,590",916,52.20%,3702,"8,801"
WORTHY,"4,586",917,55.10%,3919,"8,327"
HURT,"4,576",918,22.00%,1584,"20,753"
DODSON,"4,562",919,12.20%,842,"37,298"
HENLEY,"4,562",919,22.50%,1619,"20,276"
RIDLEY,"4,559",921,41.10%,2987,"11,099"
SLATER,"4,549",922,14.40%,1013,"31,569"
LANDRY,"4,548",923,12.00%,828,"37,961"
RATLIFF,"4,543",924,15.60%,1099,"29,142"
DOSS,"4,543",924,22.00%,1598,"20,623"
MCCORMICK,"4,537",926,7.20%,475,"62,663"
SMALLWOOD,"4,537",926,24.90%,1811,"18,227"
BURRIS,"4,529",928,17.40%,1242,"25,998"
CANTY,"4,527",929,58.30%,4221,"7,769"
BETTS,"4,526",930,23.60%,1714,"19,209"
MOSBY,"4,524",931,63.40%,4563,"7,134"
TINSLEY,"4,523",932,30.50%,2255,"14,834"
NEWELL,"4,522",933,14.40%,1021,"31,317"
RAWLS,"4,514",934,40.10%,2933,"11,265"
ELDER,"4,513",935,15.70%,1118,"28,783"
POINDEXTER,"4,499",936,40.20%,2958,"11,201"
WEATHERS,"4,488",937,33.60%,2473,"13,376"
GEE,"4,484",938,18.80%,1363,"23,826"
MEANS,"4,471",939,28.30%,2107,"15,808"
MCALLISTER,"4,462",940,15.60%,1122,"28,586"
TARVER,"4,462",940,49.90%,3654,"8,935"
HURST,"4,459",942,10.00%,702,"44,587"
WILKES,"4,456",943,25.00%,1856,"17,797"
HOOPER,"4,451",944,13.10%,936,"34,084"
BRUMFIELD,"4,451",944,39.20%,2913,"11,350"
OUTLAW,"4,444",946,53.10%,3904,"8,365"
DILLON,"4,434",947,9.10%,631,"48,833"
AYERS,"4,416",948,11.40%,812,"38,836"
PRITCHETT,"4,413",949,24.00%,1796,"18,350"
FINCH,"4,408",950,14.80%,1076,"29,703"
EATON,"4,404",951,9.50%,676,"46,403"
COSBY,"4,398",952,43.50%,3242,"10,121"
NESBITT,"4,388",953,34.10%,2584,"12,878"
MCKINLEY,"4,382",954,19.00%,1410,"23,124"
COBBS,"4,381",955,71.60%,5241,"6,117"
GADSON,"4,378",956,92.80%,6617,4720
LESLIE,"4,370",957,18.00%,1335,"24,266"
BUCKLEY,"4,364",958,10.70%,772,"40,706"
WALL,"4,352",959,8.00%,557,"54,401"
LAMAR,"4,352",959,39.50%,3010,"11,030"
BARRON,"4,347",961,9.40%,678,"46,196"
FORREST,"4,345",962,19.60%,1474,"22,124"
RODRIGUEZ,"4,343",963,0.50%,9,"804,240"
ARCHER,"4,340",964,13.00%,958,"33,411"
PINCKNEY,"4,335",965,70.80%,5234,"6,126"
GARLAND,"4,327",966,16.80%,1251,"25,725"
MOON,"4,324",967,10.30%,748,"42,062"
NICHOLAS,"4,287",968,16.10%,1205,"26,628"
HEAD,"4,279",969,15.70%,1180,"27,218"
MCCLURE,"4,274",970,9.20%,672,"46,505"
HARLEY,"4,274",970,37.50%,2886,"11,409"
HORN,"4,270",972,8.30%,593,"51,380"
CREWS,"4,270",972,18.40%,1404,"23,167"
MICKENS,"4,265",974,85.60%,6298,4980
CRAFT,"4,255",975,13.90%,1044,"30,653"
CASH,"4,246",976,14.90%,1123,"28,572"
RANKIN,"4,246",976,15.20%,1148,"27,989"
RAYMOND,"4,243",978,11.10%,825,"38,158"
BRAY,"4,242",979,12.30%,923,"34,575"
GODFREY,"4,241",980,15.30%,1159,"27,700"
HEMPHILL,"4,237",981,32.50%,2542,"13,054"
FRYE,"4,233",982,11.50%,862,"36,716"
CHAPPELL,"4,232",983,18.40%,1419,"23,001"
RICH,"4,230",984,8.90%,654,"47,477"
BOSTIC,"4,227",985,39.80%,3122,"10,615"
LEMON,"4,220",986,29.00%,2283,"14,573"
LANGSTON,"4,217",987,22.20%,1731,"18,979"
WESTBROOK,"4,215",988,21.30%,1660,"19,781"
DURANT,"4,215",988,36.00%,2811,"11,699"
KENT,"4,209",990,9.90%,733,"42,597"
GARCIA,"4,206",991,0.50%,8,"858,289"
ETIENNE,"4,195",992,73.90%,5603,5678
MCCANTS,"4,193",993,74.80%,5682,"5,602"
BYERS,"4,191",994,13.40%,1022,"31,299"
ROUNDTREE,"4,179",995,69.20%,5309,"6,038"
MERCER,"4,174",996,12.40%,949,"33,797"
BECK,"4,164",997,4.50%,295,"93,161"
HOBSON,"4,154",998,25.10%,2011,"16,517"
MURRELL,"4,146",999,39.10%,3125,"10,600"
HILTON,"4,142",1000,14.70%,1139,"28,098"
HASKINS,"4,139",1001,25.20%,2022,"16,457"
MURRY,"4,135",1002,43.10%,3415,"9,590"
CURRIE,"4,125",1003,24.80%,2000,"16,627"
TRICE,"4,118",1004,51.70%,4121,"7,960"
CLINTON,"4,109",1005,26.10%,2118,"15,714"
HANKINS,"4,105",1006,19.40%,1561,"21,138"
CAPERS,"4,105",1006,80.10%,6160,5122
POSEY,"4,087",1008,20.80%,1669,"19,648"
SHELBY,"4,081",1009,35.10%,2826,"11,624"
STANTON,"4,080",1010,11.70%,909,"34,812"
BURROUGHS,"4,080",1010,24.40%,1990,"16,702"
SPEARMAN,"4,076",1012,51.90%,4184,"7,855"
MACON,"4,058",1013,61.60%,4893,"6,592"
BATTS,"4,048",1014,51.80%,4204,"7,814"
BILLUPS,"4,048",1014,66.60%,5265,"6,082"
ROLAND,"4,043",1016,21.60%,1752,"18,742"
HUTCHINS,"4,037",1017,15.70%,1257,"25,633"
CRAWLEY,"4,036",1018,33.60%,2760,"12,000"
MARTINEZ,"4,030",1019,0.50%,11,"775,072"
JEANBAPTISTE,"4,028",1020,86.70%,6708,4646
BELCHER,"4,027",1021,14.40%,1149,"27,947"
BARLOW,"4,025",1022,13.10%,1041,"30,749"
MOTLEY,"4,021",1023,40.30%,3301,"9,966"
STROUD,"4,011",1024,16.80%,1357,"23,946"
COUNCIL,"4,011",1024,60.90%,4901,"6,584"
LUMPKIN,"4,006",1026,43.80%,3566,"9,144"
NETTLES,"4,004",1027,37.40%,3104,"10,711"
YANCEY,"4,002",1028,30.30%,2503,"13,226"
MERRIWEATHER,"3,998",1029,89.60%,6931,4463
WEATHERSPOON,"3,997",1030,81.40%,6378,4913
TOWNS,"3,993",1031,54.90%,4486,"7,278"
LUCKETT,"3,991",1032,55.00%,4504,"7,254"
CARMICHAEL,"3,985",1033,21.00%,1729,"19,011"
LEVY,"3,983",1034,11.20%,892,"35,464"
MCCLINTON,"3,981",1035,74.20%,5902,"5,368"
EUBANKS,"3,970",1036,20.20%,1673,"19,616"
CHILDRESS,"3,964",1037,16.20%,1324,"24,485"
STREET,"3,963",1038,20.50%,1701,"19,322"
WEEKS,"3,958",1039,9.60%,764,"41,053"
WINFIELD,"3,957",1040,50.80%,4217,"7,788"
DALE,"3,955",1041,13.60%,1103,"28,994"
YOUNGBLOOD,"3,952",1042,22.60%,1884,"17,485"
WILBURN,"3,951",1043,26.50%,2240,"14,899"
SHERROD,"3,949",1044,50.20%,4181,"7,859"
DOYLE,"3,948",1045,5.40%,391,"73,518"
YORK,"3,948",1045,7.70%,596,"51,334"
LACEY,"3,945",1047,22.10%,1854,"17,811"
BURNEY,"3,945",1047,45.60%,3762,"8,653"
STATON,"3,943",1049,28.40%,2388,"13,898"
BROADNAX,"3,941",1050,90.90%,7106,4335
FINNEY,"3,939",1051,23.30%,1950,"16,919"
PARSON,"3,938",1052,31.30%,2644,"12,565"
